id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000242268,LINC02082,ENSG00000242268,lncRNA,100507661
ENSG00000270112,AC090241.2,ENSG00000270112,lncRNA,
ENSG00000167578,RAB4B,ENSG00000167578,protein_coding,53916
ENSG00000273842,,,,
ENSG00000078237,TIGAR,ENSG00000078237,protein_coding,57103
ENSG00000146083,RNF44,ENSG00000146083,protein_coding,22838
ENSG00000225275,NUP210P2,ENSG00000225275,unprocessed_pseudogene,100129929
ENSG00000158486,DNAH3,ENSG00000158486,protein_coding,55567
ENSG00000198242,RPL23A,ENSG00000198242,protein_coding,6147
ENSG00000259883,EHD4-AS1,ENSG00000259883,lncRNA,101928363
ENSG00000231981,RPL7L1P12,ENSG00000231981,processed_pseudogene,100420200
ENSG00000269475,AC244102.2,ENSG00000269475,unprocessed_pseudogene,
ENSG00000201788,,,,
ENSG00000134108,ARL8B,ENSG00000134108,protein_coding,55207
ENSG00000263089,AC007114.2,ENSG00000263089,lncRNA,
ENSG00000172137,CALB2,ENSG00000172137,protein_coding,794
ENSG00000167700,MFSD3,ENSG00000167700,protein_coding,113655
ENSG00000234943,AC092839.2,ENSG00000234943,lncRNA,
ENSG00000240423,LINC00636,ENSG00000240423,lncRNA,285205
ENSG00000060642,PIGV,ENSG00000060642,protein_coding,55650
ENSG00000271616,AC055876.5,ENSG00000271616,processed_pseudogene,
ENSG00000234881,PIGFP2,ENSG00000234881,processed_pseudogene,100422349
ENSG00000236040,CHIAP1,ENSG00000236040,unprocessed_pseudogene,100420342
ENSG00000231105,ECE1-AS1,ENSG00000231105,lncRNA,100506801
ENSG00000243044,AC128716.1,ENSG00000243044,processed_pseudogene,
ENSG00000182141,ZNF708,ENSG00000182141,protein_coding,7562
ENSG00000269416,LINC01224,ENSG00000269416,lncRNA,104472717
ENSG00000264981,,,,
ENSG00000275265,AC127002.2,ENSG00000275265,lncRNA,
ENSG00000185105,MYADML2,ENSG00000185105,protein_coding,255275
ENSG00000233540,DNM3-IT1,ENSG00000233540,lncRNA,100874284
ENSG00000102174,PHEX,ENSG00000102174,protein_coding,5251
ENSG00000271647,KRT8P47,ENSG00000271647,processed_pseudogene,644743
ENSG00000166391,MOGAT2,ENSG00000166391,protein_coding,80168
ENSG00000270469,AC006557.5,ENSG00000270469,processed_pseudogene,
ENSG00000070087,PFN2,ENSG00000070087,protein_coding,5217
ENSG00000262950,AC007861.1,ENSG00000262950,lncRNA,
ENSG00000255420,CASC23,ENSG00000255420,lncRNA,103581031
ENSG00000280038,DNM1P41,ENSG00000280038,TEC,440299
ENSG00000266261,AC005324.5,ENSG00000266261,lncRNA,
ENSG00000153561,RMND5A,ENSG00000153561,protein_coding,64795
ENSG00000269148,AC092301.1,ENSG00000269148,lncRNA,
ENSG00000274458,AL590730.2,ENSG00000274458,snoRNA,
ENSG00000273406,AC245008.1,ENSG00000273406,lncRNA,
ENSG00000179262,RAD23A,ENSG00000179262,protein_coding,5886
ENSG00000214198,TTC41P,ENSG00000214198,transcribed_unitary_pseudogene,253724
ENSG00000278099,RNVU1-2A,ENSG00000278099,snRNA,6063
ENSG00000166368,OR2D2,ENSG00000166368,protein_coding,120776
ENSG00000206072,SERPINB11,ENSG00000206072,protein_coding,89778
ENSG00000234900,AL135937.1,ENSG00000234900,lncRNA,
ENSG00000258630,LINC02292,ENSG00000258630,lncRNA,101929080
ENSG00000127511,SIN3B,ENSG00000127511,protein_coding,23309
ENSG00000220993,,,,
ENSG00000225269,LINC00705,ENSG00000225269,lncRNA,338588
ENSG00000214062,RPL7P17,ENSG00000214062,processed_pseudogene,100270851
ENSG00000095587,TLL2,ENSG00000095587,protein_coding,7093
ENSG00000274219,AC025588.4,ENSG00000274219,unprocessed_pseudogene,
ENSG00000230100,AL606490.3,ENSG00000230100,lncRNA,
ENSG00000064601,CTSA,ENSG00000064601,protein_coding,5476
ENSG00000227766,AL671277.1,ENSG00000227766,unprocessed_pseudogene,
ENSG00000008517,IL32,ENSG00000008517,protein_coding,9235
ENSG00000215246,AC116351.1,ENSG00000215246,lncRNA,
ENSG00000266644,AC103810.5,ENSG00000266644,lncRNA,
ENSG00000236893,ASS1P7,ENSG00000236893,processed_pseudogene,339845
ENSG00000254465,THAP12P4,ENSG00000254465,processed_pseudogene,100129382
ENSG00000088179,PTPN4,ENSG00000088179,protein_coding,5775
ENSG00000070081,NUCB2,ENSG00000070081,protein_coding,4925
ENSG00000275479,AC087741.2,ENSG00000275479,lncRNA,
ENSG00000166634,SERPINB12,ENSG00000166634,protein_coding,89777
ENSG00000261789,AC023830.2,ENSG00000261789,lncRNA,
ENSG00000254092,AC021613.1,ENSG00000254092,lncRNA,
ENSG00000197421,GGT3P,ENSG00000197421,transcribed_unprocessed_pseudogene,2679
ENSG00000161558,TMEM143,ENSG00000161558,protein_coding,55260
ENSG00000276644,DACH1,ENSG00000276644,protein_coding,1602
ENSG00000260900,AC145350.3,ENSG00000260900,processed_pseudogene,
ENSG00000278732,,,,
ENSG00000196167,COLCA1,ENSG00000196167,lncRNA,399948
ENSG00000268465,AC008403.1,ENSG00000268465,protein_coding,
ENSG00000264438,RN7SL560P,ENSG00000264438,misc_RNA,106479426
ENSG00000204113,BMP2KL,ENSG00000204113,processed_pseudogene,347359
ENSG00000207000,RNU6-820P,ENSG00000207000,snRNA,106479929
ENSG00000254131,AC093367.1,ENSG00000254131,processed_pseudogene,
ENSG00000118972,FGF23,ENSG00000118972,protein_coding,8074
ENSG00000264104,AC114689.1,ENSG00000264104,processed_pseudogene,
ENSG00000179833,SERTAD2,ENSG00000179833,protein_coding,9792
ENSG00000264576,,,,
ENSG00000064225,ST3GAL6,ENSG00000064225,protein_coding,10402
ENSG00000267108,AP001029.1,ENSG00000267108,lncRNA,
ENSG00000221372,,,,
ENSGR0000264510,,,,
ENSG00000057294,PKP2,ENSG00000057294,protein_coding,5318
ENSG00000227535,AL357315.1,ENSG00000227535,lncRNA,
ENSG00000252628,RNU6-453P,ENSG00000252628,snRNA,106479766
ENSG00000166007,TRIM51HP,ENSG00000166007,transcribed_unprocessed_pseudogene,440041
ENSG00000273055,AC005046.1,ENSG00000273055,lncRNA,
ENSG00000242041,RPL35AP28,ENSG00000242041,processed_pseudogene,100271637
